Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio,Legal_status_Sale contract,Legal_status_Unknown,Furniture_state_Full,Furniture_state_Unknown,Price_log
84.0,4.5,5.5,4.0,3.0,3.0,8.6,1,1,0,1,1,21.0,21.0,0.052941176470588235,False,False,False,True,2.2617630984737906
60.0,4.5,5.5,5.0,3.0,3.0,7.5,1,1,0,1,1,15.0,15.0,0.07377049180327869,False,True,False,True,2.1400661634962708
90.0,6.0,7.5,5.0,3.0,3.0,8.9,0,0,0,1,1,22.5,22.5,0.06593406593406594,True,False,False,True,2.2925347571405443
54.0,4.5,3.5,2.0,2.0,3.0,5.35,1,0,0,0,0,18.0,13.5,0.08181818181818182,False,False,True,False,1.8484548129046001
92.0,4.5,5.5,2.0,4.0,4.0,6.9,1,1,0,0,0,18.4,18.4,0.04838709677419355,False,False,True,False,2.066862759472976
91.0,6.5,7.5,3.0,3.0,3.0,9.8,0,0,1,1,1,22.75,22.75,0.07065217391304347,False,False,False,True,2.379546134130174
64.0,4.0,5.5,5.0,3.0,3.0,7.2,0,1,0,1,1,16.0,16.0,0.06153846153846154,False,True,False,True,2.1041341542702074
74.0,5.0,7.5,5.0,4.0,5.0,9.9,0,0,0,0,0,14.8,12.333333333333334,0.06666666666666667,False,False,False,True,2.388762789235098
48.0,4.5,5.5,5.0,5.5,3.0,5.7,1,1,0,0,1,7.384615384615385,12.0,0.09183673469387756,False,True,False,False,1.9021075263969205
91.0,6.5,5.5,5.0,3.0,3.0,9.5,0,1,0,1,1,22.75,22.75,0.07065217391304347,False,False,False,True,2.3513752571634776
80.0,5.0,7.5,5.0,5.5,5.5,10.0,0,0,0,0,0,12.307692307692308,12.307692307692308,0.06172839506172839,False,False,False,True,2.3978952727983707
70.0,6.0,7.5,5.0,5.5,3.0,9.8,0,0,0,0,1,10.76923076923077,17.5,0.08450704225352113,False,True,False,True,2.379546134130174
60.0,4.5,5.5,5.0,3.0,3.0,8.9,1,1,0,1,1,15.0,15.0,0.07377049180327869,False,True,False,True,2.2925347571405443
91.0,4.5,5.5,3.0,3.0,3.0,8.6,1,1,1,1,1,22.75,22.75,0.04891304347826087,False,False,False,True,2.2617630984737906
96.0,6.0,7.5,4.0,3.0,3.0,9.6,0,0,0,1,1,24.0,24.0,0.061855670103092786,True,False,False,True,2.3608540011180215
30.0,4.5,5.5,2.0,2.0,2.0,3.79,1,1,0,0,0,10.0,10.0,0.14516129032258066,False,False,True,False,1.5665304114228238
140.0,6.5,7.5,3.0,5.5,3.0,9.4,0,0,0,0,0,21.53846153846154,35.0,0.04609929078014184,False,False,True,False,2.341805806147327
91.0,6.5,7.5,3.0,3.0,3.0,10.0,0,0,1,1,1,22.75,22.75,0.07065217391304347,False,True,False,False,2.3978952727983707
65.0,5.0,7.5,5.0,5.0,4.0,7.8,0,0,0,0,0,10.833333333333334,13.0,0.07575757575757576,True,False,False,True,2.174751721484161
46.0,4.6,6.0,4.0,4.0,5.0,7.99,0,0,0,0,0,9.2,7.666666666666667,0.0978723404255319,False,False,True,False,2.196112848483529
75.0,5.0,7.5,5.0,5.5,5.0,8.7,0,0,0,0,0,11.538461538461538,12.5,0.06578947368421052,True,False,False,True,2.272125885509337
