Area,Frontage,Access_Road,Floors,Bedrooms,Bathrooms,Legal_status,Furniture_state,Price,Frontage_missing,Access_Road_missing,Floors_missing,Bedrooms_missing,Bathrooms_missing,Area_per_Bedroom,Area_per_Bathroom,Frontage_Area_ratio
84.0,4.5,5.5,4.0,3.0,3.0,Have certificate,Unknown,8.6,1,1,0,1,1,21.0,21.0,0.052941176470588235
60.0,4.5,5.5,5.0,3.0,3.0,Unknown,Unknown,7.5,1,1,0,1,1,15.0,15.0,0.07377049180327869
90.0,6.0,7.5,5.0,3.0,3.0,Sale contract,Unknown,8.9,0,0,0,1,1,22.5,22.5,0.06593406593406594
54.0,4.5,3.5,2.0,2.0,3.0,Have certificate,Full,5.35,1,0,0,0,0,18.0,13.5,0.08181818181818182
92.0,4.5,5.5,2.0,4.0,4.0,Have certificate,Full,6.9,1,1,0,0,0,18.4,18.4,0.04838709677419355
91.0,6.5,7.5,3.0,3.0,3.0,Have certificate,Unknown,9.8,0,0,1,1,1,22.75,22.75,0.07065217391304347
64.0,4.0,5.5,5.0,3.0,3.0,Unknown,Unknown,7.2,0,1,0,1,1,16.0,16.0,0.06153846153846154
74.0,5.0,7.5,5.0,4.0,5.0,Have certificate,Unknown,9.9,0,0,0,0,0,14.8,12.333333333333334,0.06666666666666667
48.0,4.5,5.5,5.0,5.5,3.0,Unknown,Basic,5.7,1,1,0,0,1,7.384615384615385,12.0,0.09183673469387756
91.0,6.5,5.5,5.0,3.0,3.0,Have certificate,Unknown,9.5,0,1,0,1,1,22.75,22.75,0.07065217391304347
80.0,5.0,7.5,5.0,5.5,5.5,Have certificate,Unknown,10.0,0,0,0,0,0,12.307692307692308,12.307692307692308,0.06172839506172839
70.0,6.0,7.5,5.0,5.5,3.0,Unknown,Unknown,9.8,0,0,0,0,1,10.76923076923077,17.5,0.08450704225352113
60.0,4.5,5.5,5.0,3.0,3.0,Unknown,Unknown,8.9,1,1,0,1,1,15.0,15.0,0.07377049180327869
91.0,4.5,5.5,3.0,3.0,3.0,Have certificate,Unknown,8.6,1,1,1,1,1,22.75,22.75,0.04891304347826087
96.0,6.0,7.5,4.0,3.0,3.0,Sale contract,Unknown,9.6,0,0,0,1,1,24.0,24.0,0.061855670103092786
30.0,4.5,5.5,2.0,2.0,2.0,Have certificate,Full,3.79,1,1,0,0,0,10.0,10.0,0.14516129032258066
140.0,6.5,7.5,3.0,5.5,3.0,Have certificate,Full,9.4,0,0,0,0,0,21.53846153846154,35.0,0.04609929078014184
91.0,6.5,7.5,3.0,3.0,3.0,Unknown,Basic,10.0,0,0,1,1,1,22.75,22.75,0.07065217391304347
